Ano;Semestre;Concelho;Pedidos de Ligação à Rede Executados (#);CodConcelho
2024;1;Santiago do Cacém;1.0;1509
2024;1;Seixal;3.0;1510
2024;1;Lourinhã;3.0;1108
2024;1;Cascais;5.0;1105
2024;1;Évora;2.0;0705
2024;1;Vila Nova de Famalicão;1.0;0312
2024;1;Alenquer;2.0;1101
2024;1;Ovar;1.0;0115
2024;1;Castro Marim;1.0;0804
2024;1;Paços de Ferreira;1.0;1309
2024;1;Benavente;2.0;1405
2024;1;Penalva do Castelo;2.0;1811
2024;1;Tábua;1.0;0616
2024;1;Águeda;1.0;0101
2024;1;Miranda do douro;1.0;0406
2024;1;Braga;2.0;0303
2024;1;Porto de Mós;1.0;1016
2024;1;Sernancelhe;1.0;1818
2024;1;Arcos de Valdevez;1.0;1601
2024;1;Vila do Conde;9.0;1316
2024;1;Lousã;2.0;0607
2024;1;Mealhada;1.0;0111
2024;1;Loulé;12.0;0808
2024;1;Caldas da Rainha;2.0;1006
2024;1;Estarreja;1.0;0108
2024;1;Matosinhos;2.0;1308
2024;1;Oliveira do Hospital;1.0;0611
2024;1;Alcobaça;4.0;1001
2024;1;Oliveira do Bairro;2.0;0114
2024;1;Estremoz;1.0;0704
2024;1;Sines;1.0;1513
2024;1;Cinfães;2.0;1804
2024;1;Mafra;1.0;1109
2024;1;Santa Maria da Feira;1.0;0109
2024;1;Sintra;5.0;1111
2024;1;Aguiar da Beira;2.0;0901
2024;1;Celorico de Basto;1.0;0305
2024;2;Oeiras;3.0;1110
2024;2;Ourique;1.0;0212
2024;2;Odemira;1.0;0211
2024;2;Albufeira;1.0;0801
2024;2;Paredes;2.0;1310
2024;2;Chaves;2.0;1703
2024;2;Idanha-a-Nova;2.0;0505
2024;2;Setúbal;1.0;1512
2024;2;Estarreja;2.0;0108
2024;2;Matosinhos;5.0;1308
2024;2;Sernancelhe;1.0;1818
2024;2;Aveiro;1.0;0105
2024;2;Oliveira de Azeméis;4.0;0113
2024;2;Condeixa-a-Nova;1.0;0604
2024;2;Montijo;23.0;1507
2024;2;Braga;2.0;0303
2024;2;Abrantes;1.0;1401
2024;2;Lourinhã;2.0;1108
2024;2;Tondela;1.0;1821
2024;2;Sintra;3.0;1111
2024;1;Paredes;2.0;1310
2024;1;Vila Nova de Foz Côa;1.0;0914
2024;1;Espinho;1.0;0107
2024;1;Penacova;1.0;0613
2024;1;Barcelos;2.0;0302
2024;1;Montemor-o-Novo;4.0;0706
2024;1;Guimarães;3.0;0308
2024;1;Olhão;2.0;0810
2024;1;Mira;2.0;0608
2024;1;Montemor-o-Velho;1.0;0610
2024;1;Loures;1.0;1107
2024;1;Vila Real;1.0;1714
2024;1;Portalegre;2.0;1214
2024;1;Faro;13.0;0805
2024;1;Proença-a-Nova;2.0;0508
2024;1;Lisboa;3.0;1106
2024;1;Salvaterra de Magos;1.0;1415
2024;1;Tondela;1.0;1821
2024;1;Oeiras;4.0;1110
2024;1;Valongo;2.0;1315
2024;1;Penafiel;6.0;1311
2024;1;Arganil;1.0;0601
2024;1;Covilhã;8.0;0503
2024;1;Lagoa;1.0;0806
2024;1;Sátão;2.0;1817
2024;1;Viana do Alentejo;5.0;0713
2024;1;Nelas;2.0;1809
2024;1;Viseu;5.0;1823
2024;1;Alcácer do Sal;1.0;1501
2024;1;Coimbra;1.0;0603
2024;1;Setúbal;2.0;1512
2024;1;Vila de Rei;1.0;0510
2024;1;Figueira da Foz;1.0;0605
2024;1;Carregal do Sal;1.0;1802
2024;1;Trofa;2.0;1318
